Authors,PubYear,StudyYear,metaDuAggregate,metaDu,metaXu,retain,duplicate,CTA6hrs,firstpass,hospital,Country,Study type,total,Quality assessment,Quality assessment182526,Setting ,TP,FP,FN,TN,age,male,id,result_id,study_id,clinical,clinical,HE12,TPMORTSS,FPMORTSS,FNMORTSS,TNMORTSS,TPMORTH,FPMORTH,FNMORTH,TNMORTH,TPMOR30S,FPMOR30S,FNMOR30S,TNMOR30S,TPMOR30H,FPMOR30H,FNMOR30H,TNMOR30H,TPMOR3S,FPMOR3S,FNMOR3S,TNOMOR3S,TPMOR3H,FPMOR3H,FNMOR3H,TNMOR3H,TPPOS,FPPOS,FNPOS,TNPOS,TPPOH,FPPOH,FNPOH,TNPOH,TPGOS,FPGOS,FNGOS,TNGOS,TPGOH,FPGOH,FNGOH,TNGOH,TPMRSS,FPMRSS,FNMRSS,TNMRSS,TPMRSH,FPMRSH,FNMRSH,TNMRSH,TPMRS3S,FPMRS3S,FNMRS3S,TNMRS3S,TPMRS3H,FPMRS3H,FNMRS3H,TNMRS3H,TPMMRSS,FPMMRSS,FNMMRSS,TNMMRSS,TPMMRSH,FPMMRSH,FNMMRSH,TNMMRSH,TPMRSbadS,FPMRSbadS,FNMRSbadS,TNMRSbadS,TPMRSbadH,FPMRSbadH,FNMRSbadH,TNMRSbadH,TPMRSgS,FPMRSgS,FNMRSgS,TNMRSgs,TPMRSgH,FPMRSgH,FNMRSgH,TNMRSgH,TPdiss,FPdiss,FNdiss,TNdiss,TPdisH,FPdisH,FNdisH,TNdisH,TPNS,FPNS,FNNS,TNNS,TPNH,FPNH,FNNH,TNNH,TPdetS,FPdetS,FNdetS,TNdetS,TPdetH,FPdetH,FNdetH,TNdetH,TPevacs,FPevacs,FNevacs,TNevacs,TPevacH,FPevacH,FNevacH,TNevacH,TPexts,FPexts,FNexts,TNexts,TPextH,FPextH,FNextH,TNextH,TPHosps,FPHosps,FNHosps,TNHosps,TPHosph,FPHospH,FNHospH,TNHospH,,retain,duplicate,CTA6hrs,firstpass
Brouwers,2012,2000-2010,yes,yes,yes,yes,yes,yes,yes,MGH,US,Retro,391,36,33,Single,33,41,38,279,71.9,214,26,1,26,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes
Demchuk,2012,2006-2010,yes,yes,yes,yes,yes,yes,yes,Predict,Multiple,Prospective,228,44,41,Multicentre,37,24,36,131,71,130,33,1,33,0,no,,,,,,,,,,,,,,,,,,23,38,31,136,,,,,,,,,,,,,,,,,,,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes
Rosa Junior,2013,2011-2012,yes,no,no,yes,no,no,yes,Sao Paolo,Brazil,Prospective,65,40,34,Single,5,6,3,57,64.3,,18,1,18,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,no,yes
Sorimachi,2013,2009-2013,no,no,no,no,no,no,yes,Tokai,Japan,Retro,141,43,37,Single,6,13,2,44,,40,8,1,8,1,yes,,14,5,20,26,,,,,,,,,,,,,,,,,,,,,16,3,30,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,yes
Rizos,2013,2008-2011,yes,yes,no,yes,no,yes,yes,Heidelberg,Germany,Prospective,101,45,39,Single,16,11,16,58,,62,16,1,16,1,yes,,7,20,8,66,,,,,,,,,,,,,7,20,17,57,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,34,40,,,,,,,,,,,,,,yes,no,yes,yes
Romero,2013,2009-2010,yes,yes,yes,yes,yes,no,yes,MGH,US,Prospective,131,46,40,Single,16,15,9,91,71.5,79,47,1,47,1,yes,,19,12,9,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,no,yes
Sun,2013,2009-2010,yes,yes,yes,yes,yes,yes,yes,Tiantan,China,Prospective,112,48,42,Single,17,7,11,77,,72,50,1,50,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes
Huynh,2013,2006-2010,no,no,no,no,yes,yes,yes,Predict,Multiple,Prospective,228,44,41,Single,7,3,3,8,70.4,18,14,1,14,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,yes,yes
Moon,2014,2005-2012,no,no,yes,yes,no,no,yes,Incheon St. Mary’s Hospital,Korea,Retro,287,42,36,Single,7,8,4,55,70,67,30,1,30,1,yes,1,26,10,22,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,23,36,,,,,,,,,,,,,,yes,no,no,yes
Han,2014,2008-2012,no,no,no,yes,no,no,yes,Chonbuk National University ,Korea,Retro,187,44,38,Single,12,1,3,37,54.3,34,6,1,6,0,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,no,yes
